session_name,title,full_url
2005 Regular Session,House Bill 2070 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2070.intro.pdf
2005 Regular Session,House Bill 2070 - Senate Amendments to A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2070.a1sa.pdf
2005 Regular Session,House Bill 2071 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2071.en.pdf
2005 Regular Session,House Bill 2071 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2071.intro.pdf
2005 Regular Session,House Bill 2072 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2072.a.pdf
2005 Regular Session,House Bill 2072 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2072.en.pdf
2005 Regular Session,House Bill 2072 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2072.intro.pdf
2005 Regular Session,House Bill 2072 - Senate Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2072.1sa.pdf
2005 Regular Session,House Bill 2073 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2073.intro.pdf
2005 Regular Session,House Bill 2074 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2074.intro.pdf
2005 Regular Session,House Bill 2075 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2075.en.pdf
2005 Regular Session,House Bill 2075 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2075.intro.pdf
2005 Regular Session,House Bill 2076 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2076.intro.pdf
2005 Regular Session,House Bill 2077 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2077.a.pdf
2005 Regular Session,House Bill 2077 - B-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2077.b.pdf
2005 Regular Session,House Bill 2077 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2077.en.pdf
2005 Regular Session,House Bill 2077 - House Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2077.1ha.pdf
2005 Regular Session,House Bill 2077 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2077.intro.pdf
2005 Regular Session,House Bill 2077 - Senate Amendments to A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2077.a1sa.pdf
2005 Regular Session,House Bill 2078 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2078.a.pdf
2005 Regular Session,House Bill 2078 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2078.en.pdf
2005 Regular Session,House Bill 2078 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2078.intro.pdf
2005 Regular Session,House Bill 2078 - Senate Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2078.1sa.pdf
2005 Regular Session,House Bill 2079 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2079.intro.pdf
2005 Regular Session,House Bill 2080 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2080.a.pdf
2005 Regular Session,House Bill 2080 - House Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2080.1ha.pdf
2005 Regular Session,House Bill 2080 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2080.intro.pdf
2005 Regular Session,House Bill 2081 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2081.intro.pdf
2005 Regular Session,House Bill 2082 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2082.intro.pdf
2005 Regular Session,House Bill 2083 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2083.en.pdf
2005 Regular Session,House Bill 2083 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2083.intro.pdf
2005 Regular Session,House Bill 2084 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2084.a.pdf
2005 Regular Session,House Bill 2084 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2084.en.pdf
2005 Regular Session,House Bill 2084 - House Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2084.1ha.pdf
2005 Regular Session,House Bill 2084 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2084.intro.pdf
2005 Regular Session,House Bill 2085 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2085.en.pdf
2005 Regular Session,House Bill 2085 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2085.intro.pdf
2005 Regular Session,House Bill 2086 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2086.intro.pdf
2005 Regular Session,House Bill 2087 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2087.en.pdf
2005 Regular Session,House Bill 2087 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2087.intro.pdf
2005 Regular Session,House Bill 2088 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2088.intro.pdf
2005 Regular Session,House Bill 2089 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2089.a.pdf
2005 Regular Session,House Bill 2089 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2089.en.pdf
2005 Regular Session,House Bill 2089 - House Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2089.1ha.pdf
2005 Regular Session,House Bill 2089 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2089.intro.pdf
2005 Regular Session,House Bill 2090 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2090.intro.pdf
2005 Regular Session,House Bill 2091 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2091.a.pdf
2005 Regular Session,House Bill 2091 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2091.en.pdf
2005 Regular Session,House Bill 2091 - House Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2091.1ha.pdf
2005 Regular Session,House Bill 2091 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2091.intro.pdf
2005 Regular Session,House Bill 2092 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2092.a.pdf
2005 Regular Session,House Bill 2092 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2092.en.pdf
